redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,aof_current_size,aof_base_size,aof_pending_rewrite,aof_buffer_length,aof_rewrite_buffer_length,aof_pending_bio_fsync,aof_delayed_fsync,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,27264,e2a0dad3f1dbfd1b63c942346b28d28c02176193,6379,6,0,6,6,4246225,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config1.conf,1,32,0,0,1181024,1.13,4259840,4.06,1241248,1.18,95.15,797304,531608,383720,59.09,1227416,1486848,4464640,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-lru,1.21,259432,3.00,2977792,0.95,-204800,3.67,3100600,156,0,0,0,160,jemalloc-5.1.0,0,0,0,12744,0,1631636171,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,955869,205846,0,0,0,0,0,3,20000,7530,1110014,100000,408.13,36.77,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,00cd6869209aa54180284b217c775e58b411beaa,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.231712,0.102433,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,27364,a9051987f66d8f9538fe01f85348fe0c0c9656e1,6379,6,0,18,18,4246245,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config2.conf,1,32,0,0,1181088,1.13,4050944,3.86,1241312,1.18,95.15,797368,531608,383720,59.08,1194280,1445888,4382720,58986446848,54.94,37888,37.00,0,0,0,1887436800,1.76,noeviction,1.21,251608,3.03,2936832,0.92,-331776,3.63,2933568,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631636191,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,16314,1110014,100000,884.23,79.67,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,a70315d36300c71d17df3cd60e31cff93f144cfe,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.246147,0.100983,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,27436,f0e1475ce62921dc37a9be634ba9581b79ddfa98,6379,483,0,16,16,4246734,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config3.conf,1,32,0,0,1181088,1.13,4104192,3.91,1241328,1.18,95.15,797368,531608,383720,59.08,1199136,1445888,4386816,58986446848,54.94,37888,37.00,0,0,0,2621440000,2.44,volatile-lfu,1.21,246752,3.03,2940928,0.94,-282624,3.54,2944888,220,0,0,0,224,jemalloc-5.1.0,0,0,0,3544,0,1631636504,ok,0,-1,274432,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,14,1110014,100000,0.79,0.08,0,0,0,0,0,0.00,0,0,0,10000,0,0,184,0,0,0,0,0,0,master,0,12a295783a3136a86ce92bfc2a91ab0127218340,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.155518,0.506820,0.001195,0.002390,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30691,27483d3149ce562748dc70100b2605206bffe926,6379,6,0,2,2,4246746,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config4.conf,1,32,0,0,1181088,1.13,4075520,3.89,1241312,1.18,95.15,797368,531608,383720,59.08,1196208,1445888,4542464,58986446848,54.94,37888,37.00,0,0,0,2202009600,2.05,volatile-random,1.21,249680,3.14,3096576,0.90,-466944,3.65,2958144,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631636692,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,2495,1110014,100000,135.23,12.18,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,c050392c0903efae53176c4f397736efaa0cff92,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.277134,0.103668,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,30803,77d0c70ad1946e44a82b4035d77fd51aad8460aa,6379,483,0,7,7,4247235,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config5.conf,1,32,0,0,1181088,1.13,3993600,3.81,1241328,1.18,95.15,797368,531608,383720,59.08,1193512,1445888,4354048,58986446848,54.94,37888,37.00,0,0,0,1468006400,1.37,noeviction,1.21,252376,3.01,2908160,0.92,-360448,3.44,2834296,220,0,0,0,224,jemalloc-5.1.0,0,0,0,3785,0,1631637005,ok,0,-1,286720,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,31,1110014,100000,1.71,0.16,0,0,0,0,0,0.00,0,0,0,10000,0,0,161,0,0,0,0,0,0,master,0,c09b1da01e0b8eb21eec13255d0932641b04d5f5,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.215523,0.382766,0.001959,0.001959,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,1955,15a798a53447cc700747cd54daf3230fe4b720d0,6379,6,0,7,7,4247247,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config6.conf,1,32,0,0,1181088,1.13,4075520,3.89,1241312,1.18,95.15,797368,531608,383720,59.08,1193704,1445888,4472832,58986446848,54.94,37888,37.00,0,0,0,1782579200,1.66,allkeys-lfu,1.21,252184,3.09,3026944,0.91,-397312,3.52,2916216,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631637193,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,8802,1110014,100000,477.11,42.98,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,224947c9df590a5b4e128ae32b13336e380842cf,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.254050,0.110456,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,2026,a8c655dfcf5f374e679edbdf59e08d1867c9fc13,6379,358,0,8,8,4247611,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config7.conf,1,32,0,0,1181088,1.13,4149248,3.96,1241328,1.18,95.15,797368,531608,383720,59.08,1194712,1445888,4354048,58986446848,54.94,37888,37.00,0,0,0,3040870400,2.83,volatile-lfu,1.21,251176,3.01,2908160,0.95,-204800,3.58,2989944,220,0,0,0,224,jemalloc-5.1.0,0,0,0,4106,0,1631637506,ok,0,-1,360448,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,35,1110014,100000,1.96,0.18,0,0,0,0,0,0.00,0,0,0,10000,0,0,174,0,0,0,0,0,0,master,0,67af3457d71b91b9b3fa726897f772b3331484a3,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.893652,0.336350,0.003156,0.002104,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,3809,28bb0f3ecce4ff27af3bcedeabf6904b892db615,6379,6,0,33,33,4247623,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config8.conf,1,32,0,0,1181024,1.13,4100096,3.91,1241248,1.18,95.15,797304,531608,383720,59.09,1226648,1486848,4464640,58986446848,54.94,37888,37.00,0,0,0,1992294400,1.86,noeviction,1.21,260200,3.00,2977792,0.92,-364544,3.54,2940856,156,0,0,0,160,jemalloc-5.1.0,0,0,0,10000,0,1631637569,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,13888,1110014,100000,752.77,67.82,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,9bfffe22b4f92019423bc5f0476857be1eefcb04,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.243005,0.099120,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,3862,3954564a3b8c1040b6a39d7d07307df9220294d9,6379,6,0,11,11,4247636,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config9.conf,1,32,0,0,1181024,1.13,4136960,3.95,1241248,1.18,95.15,797304,531608,383720,59.09,1226496,1486848,4489216,58986446848,54.94,37888,37.00,0,0,0,1992294400,1.86,noeviction,1.21,260352,3.02,3002368,0.92,-352256,3.57,2977720,156,0,0,0,160,jemalloc-5.1.0,0,0,0,10000,0,1631637582,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,13888,1110014,100000,752.77,67.82,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,75254cadd7a349dfd5cebed304d58d8755c5410d,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.267103,0.110023,0.000000,0.000000,0,5000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,3937,8a3bacce51cfee60583fa08a916d8b83a39348c7,6379,6,0,31,31,4247648,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config10.conf,1,32,0,0,1181088,1.13,4067328,3.88,1241312,1.18,95.15,797368,531608,383720,59.08,1193744,1445888,4415488,58986446848,54.94,37888,37.00,0,0,0,2831155200,2.64,volatile-lru,1.21,252144,3.05,2969600,0.92,-348160,3.51,2908024,220,0,0,0,224,jemalloc-5.1.0,0,0,0,10000,0,1631637594,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,750023,0,0,0,0,0,0,3,20000,12949,1110014,100000,701.84,63.23,0,0,0,0,0,0.00,0,0,0,10000,0,0,0,0,0,0,0,0,0,master,0,63c284a0d680b097a7e46ea8e621ee64451290b2,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.279730,0.112796,0.000000,0.000000,0,5000,0,0
